Instance;Seed;Cost;Wall time
./Instances/CVRP/X-n573-k30.vrp;2;51946;4.29109
./Instances/CVRP/X-n573-k30.vrp;2;51946;4.34365
./Instances/CVRP/X-n573-k30.vrp;2;51946;4.38614
./Instances/CVRP/X-n573-k30.vrp;2;51751;5.53503
./Instances/CVRP/X-n573-k30.vrp;2;51652;6.91194
./Instances/CVRP/X-n573-k30.vrp;2;51632;8.29687
./Instances/CVRP/X-n573-k30.vrp;2;51503;9.67934
./Instances/CVRP/X-n573-k30.vrp;2;51491;11.0592
./Instances/CVRP/X-n573-k30.vrp;2;51491;12.4352
./Instances/CVRP/X-n573-k30.vrp;2;51462;13.817
./Instances/CVRP/X-n573-k30.vrp;2;51410;15.1816
./Instances/CVRP/X-n573-k30.vrp;2;51410;16.5911
./Instances/CVRP/X-n573-k30.vrp;2;51369;17.9823
./Instances/CVRP/X-n573-k30.vrp;2;51334;19.3396
./Instances/CVRP/X-n573-k30.vrp;2;51321;20.7102
./Instances/CVRP/X-n573-k30.vrp;2;51292;22.1029
./Instances/CVRP/X-n573-k30.vrp;2;51292;23.4915
./Instances/CVRP/X-n573-k30.vrp;2;51292;24.8716
./Instances/CVRP/X-n573-k30.vrp;2;51274;26.2258
./Instances/CVRP/X-n573-k30.vrp;2;51211;27.6355
./Instances/CVRP/X-n573-k30.vrp;2;51155;29.0099
./Instances/CVRP/X-n573-k30.vrp;2;51155;30.3991
./Instances/CVRP/X-n573-k30.vrp;2;51155;31.7618
./Instances/CVRP/X-n573-k30.vrp;2;51155;33.142
./Instances/CVRP/X-n573-k30.vrp;2;51109;34.5281
./Instances/CVRP/X-n573-k30.vrp;2;51093;35.8869
./Instances/CVRP/X-n573-k30.vrp;2;51093;37.2801
./Instances/CVRP/X-n573-k30.vrp;2;51093;38.6578
./Instances/CVRP/X-n573-k30.vrp;2;51091;40.0285
./Instances/CVRP/X-n573-k30.vrp;2;51091;41.4022
./Instances/CVRP/X-n573-k30.vrp;2;51091;42.7836
./Instances/CVRP/X-n573-k30.vrp;2;51088;44.1613
./Instances/CVRP/X-n573-k30.vrp;2;51075;45.541
./Instances/CVRP/X-n573-k30.vrp;2;51055;46.9371
./Instances/CVRP/X-n573-k30.vrp;2;51055;48.308
./Instances/CVRP/X-n573-k30.vrp;2;51055;49.6896
./Instances/CVRP/X-n573-k30.vrp;2;51055;51.0735
./Instances/CVRP/X-n573-k30.vrp;2;51053;52.4676
./Instances/CVRP/X-n573-k30.vrp;2;51053;53.8544
./Instances/CVRP/X-n573-k30.vrp;2;51036;55.227
./Instances/CVRP/X-n573-k30.vrp;2;51027;56.5933
./Instances/CVRP/X-n573-k30.vrp;2;51027;57.9623
./Instances/CVRP/X-n573-k30.vrp;2;51021;59.3421
./Instances/CVRP/X-n573-k30.vrp;2;51021;60.7225
./Instances/CVRP/X-n573-k30.vrp;2;51021;62.1294
./Instances/CVRP/X-n573-k30.vrp;2;51019;63.5189
./Instances/CVRP/X-n573-k30.vrp;2;50995;64.8711
./Instances/CVRP/X-n573-k30.vrp;2;50982;66.2493
./Instances/CVRP/X-n573-k30.vrp;2;50982;67.6353
./Instances/CVRP/X-n573-k30.vrp;2;50982;69.0118
./Instances/CVRP/X-n573-k30.vrp;2;50982;70.3942
./Instances/CVRP/X-n573-k30.vrp;2;50982;71.7753
./Instances/CVRP/X-n573-k30.vrp;2;50973;73.1414
./Instances/CVRP/X-n573-k30.vrp;2;50973;74.5297
./Instances/CVRP/X-n573-k30.vrp;2;50946;75.9104
./Instances/CVRP/X-n573-k30.vrp;2;50946;77.2874
